Start Date,01/01/2010,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,
,irs3m,irs6m,irs9m,irs1yr,irs2yr,irs3yr,irs4yr,irs5yr,irs7yr,irs10yr,overnight,fed,us10yr,tiie28,mxn,g1yr,g2yr,g3yr,g5yr,g10yr,g20yr,g30yr
,MPSWC BGN Curncy,MPSWF BGN Curncy,MPSWI BGN Curncy,MPSW1A BGN Curncy,MPSW2B BGN Curncy,MPSW3C BGN Curncy,MPSW4D BGN Curncy,MPSW5E BGN Curncy,MPSW7G BGN Curncy,MPSW10K BGN Curncy,MXONBR Index,FDTR Index,USGG10YR Index,MXIBTIIE Index,MXN Curncy,GMXN01YR Index,GMXN02YR Index,GMXN03YR Index,GMXN05YR Index,GMXN10YR Index,GMXN20YR Index,GMXN30YR Index
,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
#¿NOMBRE?,4.97,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?,#¿NOMBRE?
04/01/2010,4.9710,5.0820,5.2820,5.5600,6.2690,6.7890,7.2130,7.5570,7.9640,8.3525,4.5000,0.2500,3.8155,4.9100,12.8752,5.0390,5.5120,6.4650,7.3010,8.0270,8.6370,8.8330
05/01/2010,4.9800,5.1000,5.2970,5.5700,6.2700,6.8000,7.2080,7.5440,7.9510,8.3440,4.5000,0.2500,3.7608,4.8950,12.8112,5.0450,5.5220,6.4720,7.2770,8.0040,8.6040,8.7980
06/01/2010,4.9800,5.0900,5.2800,5.5700,6.2700,6.8000,7.2000,7.5150,7.9190,8.3100,4.5000,0.2500,3.8215,4.9130,12.7370,5.0430,5.5220,6.4750,7.2770,7.9840,8.5790,8.7820
07/01/2010,4.9700,5.0875,5.2610,5.5275,6.2275,6.7850,7.1900,7.5275,7.9275,8.3175,4.5000,0.2500,3.8235,4.9250,12.7854,5.0310,5.5150,6.4270,7.2410,7.9770,8.5690,8.7730
08/01/2010,4.9500,5.0575,5.1875,5.4275,6.1360,6.6875,7.1100,7.4520,7.8500,8.2320,4.5000,0.2500,3.8297,4.9250,12.6970,4.9780,5.4600,6.3350,7.1340,7.9290,8.5250,8.7320
11/01/2010,4.9400,5.0725,5.1800,5.3900,6.1075,6.6520,7.0863,7.4210,7.8200,8.2190,4.5000,0.2500,3.8180,4.9300,12.7399,4.9310,5.4140,6.2990,7.0950,7.8780,8.5140,8.7180
12/01/2010,4.9400,5.0613,5.1790,5.3820,6.0800,6.6445,7.0550,7.3935,7.8000,8.1920,4.5000,0.2500,3.7108,4.9200,12.8176,4.9160,5.3910,6.2820,7.0820,7.8620,8.5170,8.7070
13/01/2010,4.9370,5.0430,5.1600,5.3650,6.0450,6.6160,7.0320,7.3680,7.7960,8.1870,4.5000,0.2500,3.7908,4.9125,12.7054,4.9360,5.3750,6.2680,7.0800,7.8680,8.5200,8.7250
14/01/2010,4.9310,5.0430,5.1550,5.3550,6.0380,6.5990,7.0120,7.3560,7.7930,8.1720,4.5000,0.2500,3.7382,4.9150,12.6718,4.9260,5.3580,6.2230,7.0100,7.8470,8.5140,8.7070
15/01/2010,4.9310,5.0600,5.1790,5.3650,6.0700,6.5860,7.0000,7.3300,7.7700,8.1490,4.5000,0.2500,3.6744,4.9100,12.6968,4.9210,5.3460,6.1810,6.9780,7.8220,8.5010,8.6890
18/01/2010,4.9288,5.0488,5.1635,5.3525,6.0325,6.5685,6.9930,7.3250,7.7490,8.1380,4.5000,0.2500,3.6745,4.8950,12.6600,4.9190,5.3310,6.1150,6.9390,7.7910,8.4800,8.6760
19/01/2010,4.9250,5.0550,5.1850,5.3950,6.0870,6.6100,7.0150,7.3440,7.7720,8.1560,4.5000,0.2500,3.6919,4.8800,12.6402,4.9260,5.3390,6.1030,6.9400,7.8040,8.4950,8.6780
20/01/2010,4.9370,5.0635,5.2010,5.4295,6.1200,6.6230,7.0255,7.3570,7.7730,8.1610,4.5000,0.2500,3.6474,4.9150,12.7563,4.9340,5.3690,6.1180,6.9630,7.8350,8.5170,8.7150
21/01/2010,4.9390,5.0780,5.2100,5.4400,6.1440,6.6430,7.0600,7.4000,7.8330,8.2190,4.5000,0.2500,3.5858,4.9100,12.9650,4.9330,5.3940,6.1360,6.9880,7.8750,8.5570,8.7600
22/01/2010,4.9295,5.0590,5.1850,5.4025,6.1075,6.6130,7.0265,7.3805,7.8165,8.2105,4.5000,0.2500,3.6071,4.8850,12.9745,4.9400,5.3980,6.1250,6.9770,7.8760,8.5620,8.7640
25/01/2010,4.9320,5.0575,5.1855,5.3900,6.0890,6.6100,7.0230,7.3710,7.8020,8.1800,4.5000,0.2500,3.6265,4.9150,12.8571,4.9770,5.5600,6.1590,6.9420,7.8350,8.4770,8.7090
26/01/2010,4.9350,5.0520,5.1830,5.3800,6.0735,6.6250,7.0270,7.3670,7.7780,8.1500,4.5000,0.2500,3.6188,4.9005,12.8707,4.9290,5.3730,6.0440,6.9060,7.8030,8.4530,8.6760
27/01/2010,4.9275,5.0425,5.1750,5.3750,6.0800,6.6100,7.0150,7.3600,7.7850,8.1600,4.5000,0.2500,3.6479,4.9165,12.9612,4.9140,5.3710,6.0210,6.9070,7.8000,8.4460,8.6710
28/01/2010,4.9390,5.0500,5.1890,5.4000,6.0920,6.6300,7.0500,7.4020,7.8300,8.2050,4.5000,0.2500,3.6344,4.9050,13.0663,4.9520,5.3570,6.1100,6.9090,7.8210,8.4690,8.7050
29/01/2010,4.9100,5.0200,5.1600,5.3810,6.0750,6.6100,7.0230,7.3930,7.8055,8.1875,4.5000,0.2500,3.5844,4.8700,13.0950,4.9140,5.3580,6.0140,6.9120,7.8020,8.4930,8.7160
01/02/2010,4.9200,5.0300,5.1700,5.3700,6.1000,6.6100,7.0200,7.3900,7.8100,8.1850,4.5000,0.2500,3.6501,4.8700,12.8773,4.9140,5.3580,6.0140,6.9120,7.8020,8.4930,8.7160
02/02/2010,4.9250,5.0175,5.1475,5.3413,6.0400,6.5665,6.9700,7.3400,7.7590,8.1450,4.5000,0.2500,3.6405,4.8885,12.8629,4.9040,5.3620,6.0050,6.8910,7.7730,8.4600,8.6840
03/02/2010,4.9150,5.0050,5.1450,5.3370,6.0110,6.5210,6.9010,7.2610,7.6870,8.0630,4.5000,0.2500,3.7047,4.8650,12.9500,4.9010,5.3400,5.9860,6.8480,7.7620,8.4350,8.6510
04/02/2010,4.9075,4.9975,5.1350,5.3200,5.9860,6.5150,6.8900,7.2530,7.6950,8.0670,4.5000,0.2500,3.6058,4.8875,13.1659,4.8830,5.3080,5.9600,6.8340,7.7370,8.4240,8.6230
05/02/2010,4.9100,5.0100,5.1500,5.3330,6.0000,6.5500,6.9370,7.2830,7.7490,8.1280,4.5000,0.2500,3.5654,4.8951,13.1409,4.8800,5.2970,5.9570,6.8380,7.7630,8.4440,8.6400
08/02/2010,4.9040,5.0000,5.1260,5.3100,5.9600,6.5050,6.8920,7.2330,7.6860,8.0410,4.5000,0.2500,3.5597,4.8650,13.2168,4.8780,5.2770,5.9250,6.8220,7.7600,8.4360,8.6400
09/02/2010,4.9200,5.0100,5.1300,5.3290,5.9840,6.5175,6.8790,7.1920,7.6325,7.9930,4.5000,0.2500,3.6448,4.9000,13.0103,4.8750,5.2650,5.9240,6.8190,7.7170,8.3750,8.5380
10/02/2010,4.9150,5.0200,5.1470,5.3430,5.9940,6.5255,6.8990,7.2000,7.6310,7.9920,4.5000,0.2500,3.6897,4.9150,13.1303,4.8730,5.2560,5.9330,6.8370,7.7040,8.3570,8.5250
11/02/2010,4.9200,5.0130,5.1340,5.3180,5.9805,6.4975,6.8410,7.1520,7.5510,7.8690,4.5000,0.2500,3.7155,4.8850,12.9455,4.8830,5.2570,5.9180,6.8080,7.6460,8.2550,8.4460
12/02/2010,4.9200,5.0130,5.1490,5.3300,5.9750,6.4910,6.8450,7.1630,7.5490,7.8730,4.5000,0.2500,3.6928,4.9185,12.9406,4.8750,5.2580,5.9280,6.8280,7.6220,8.2470,8.4470
15/02/2010,4.9200,5.0200,5.1400,5.3312,5.9800,6.5250,6.8700,7.1750,7.5700,7.8800,4.5000,0.2500,3.6909,4.9350,12.9360,4.8780,5.2540,5.9200,6.8310,7.5970,8.2330,8.4380
16/02/2010,4.9150,5.0250,5.1450,5.3250,5.9800,6.4950,6.8365,7.1400,7.5450,7.8550,4.5000,0.2500,3.6569,4.9100,12.8425,4.8590,5.2370,5.9220,6.8220,7.5920,8.2260,8.4240
17/02/2010,4.9300,5.0300,5.1500,5.3380,5.9800,6.5110,6.8600,7.1680,7.5700,7.8800,4.5000,0.2500,3.7307,4.9499,12.8825,4.8490,5.2330,5.9220,6.8450,7.5820,8.2070,8.4010
18/02/2010,4.9550,5.0450,5.1650,5.3550,5.9810,6.5230,6.8780,7.1820,7.6020,7.9020,4.5000,0.2500,3.8012,4.9700,12.8737,4.8460,5.2310,5.9310,6.8430,7.5800,8.1770,8.3710
19/02/2010,4.9536,5.0538,5.1887,5.3890,6.0100,6.5330,6.8855,7.2010,7.6140,7.9130,4.5000,0.2500,3.7726,4.9650,12.7977,4.8820,5.2410,6.0080,6.8930,7.6160,8.2010,8.3750
22/02/2010,4.9536,5.0538,5.1887,5.3890,6.0100,6.5150,6.8750,7.1550,7.5700,7.8700,4.5000,0.2500,3.7955,4.9600,12.8098,4.8980,5.2550,6.0310,6.8950,7.5990,8.1750,8.3510
23/02/2010,4.9600,5.0740,5.2080,5.4140,6.0180,6.5380,6.8860,7.1800,7.5850,7.8910,4.5000,0.2500,3.6834,4.9750,12.9315,4.9410,5.2450,6.1260,6.8560,7.6280,8.1740,8.3330
24/02/2010,4.9600,5.0700,5.2000,5.3980,5.9980,6.5110,6.8920,7.1975,7.6230,7.9275,4.5000,0.2500,3.6909,4.9550,12.8055,4.8970,5.2260,5.9880,6.7630,7.5900,8.1630,8.3570
25/02/2010,4.9600,5.0600,5.1800,5.3780,5.9850,6.4900,6.8700,7.1900,7.6400,7.9500,4.5000,0.2500,3.6324,4.9200,12.8047,4.8720,5.2170,5.9720,6.7430,7.5990,8.2030,8.3970
26/02/2010,4.9510,5.0480,5.1600,5.3600,5.9600,6.4690,6.8500,7.1800,7.6300,7.9500,4.5000,0.2500,3.6117,4.9300,12.7720,4.8520,5.2140,5.9250,6.6910,7.6010,8.2050,8.4010
01/03/2010,4.9510,5.0480,5.1630,5.3600,5.9600,6.4660,6.8430,7.1530,7.6010,7.9180,4.5000,0.2500,3.6079,4.9200,12.7326,4.8580,5.1970,5.8870,6.6300,7.5710,8.1760,8.3750
02/03/2010,4.9650,5.0480,5.1640,5.3900,5.9775,6.4800,6.8300,7.1500,7.5800,7.9000,4.5000,0.2500,3.6041,4.9200,12.7326,4.8550,5.1850,5.8660,6.6030,7.5730,8.1700,8.3800
03/03/2010,4.9500,5.0500,5.1800,5.3940,6.0200,6.5120,6.8725,7.1870,7.6110,7.9220,4.5000,0.2500,3.6173,4.9350,12.6953,4.8570,5.1920,5.8830,6.6160,7.5710,8.1660,8.3920
04/03/2010,4.9400,5.0600,5.1900,5.4200,6.0400,6.5410,6.8900,7.1980,7.6110,7.9220,4.5000,0.2500,3.6022,4.9300,12.7119,4.9020,5.2160,6.0380,6.6880,7.6190,8.2020,8.3940
05/03/2010,4.9500,5.0600,5.2140,5.4370,6.0600,6.5875,6.9300,7.2280,7.6320,7.9410,4.5000,0.2500,3.6796,4.9150,12.6308,4.9240,5.2270,6.0640,6.7000,7.6320,8.1950,8.4020
08/03/2010,4.9500,5.0600,5.2140,5.4600,6.1200,6.6250,6.9600,7.2600,7.6650,7.9700,4.5000,0.2500,3.7157,4.9200,12.6808,4.8720,5.2270,5.9660,6.7290,7.5920,8.1700,8.4090
09/03/2010,4.9300,5.0400,5.1550,5.4330,6.0800,6.5940,6.9540,7.2570,7.6570,7.9640,4.5000,0.2500,3.7005,4.9150,12.6208,4.9210,5.2200,6.0980,6.7770,7.6770,8.2220,8.4540
10/03/2010,4.9500,5.0570,5.1700,5.4010,6.0710,6.5960,6.9500,7.2615,7.6790,7.9870,4.5000,0.2500,3.7215,4.9050,12.5944,4.8720,5.2140,6.1910,6.9240,7.7680,8.2240,8.4550
11/03/2010,4.9400,5.0500,5.1500,5.3680,6.0350,6.5670,6.9330,7.2430,7.6770,7.9730,4.5000,0.2500,3.7272,4.9000,12.5651,4.8440,5.1850,6.1730,6.9210,7.7680,8.2480,8.4710
12/03/2010,4.9370,5.0400,5.1460,5.3500,6.0000,6.5480,6.9100,7.2200,7.6440,7.9560,4.5000,0.2500,3.7006,4.9100,12.5322,4.8360,5.1630,6.1260,6.8890,7.7250,8.2160,8.4630
15/03/2010,4.9350,5.0250,5.1350,5.3450,6.0000,6.5350,6.8950,7.2150,7.6350,7.9550,4.5000,0.2500,3.6949,4.9100,12.5424,4.8360,5.1630,6.1260,6.8890,7.7250,8.2160,8.4630
16/03/2010,4.9375,5.0300,5.1325,5.3400,5.9900,6.5375,6.8950,7.2100,7.6375,7.9575,4.5000,0.2500,3.6493,4.9200,12.5282,4.8340,5.1580,6.1160,6.8610,7.7200,8.1990,8.4510
17/03/2010,4.9350,5.0400,5.1275,5.3400,6.0000,6.5200,6.8800,7.1900,7.6200,7.9400,4.5000,0.2500,3.6361,4.9200,12.4553,4.8610,5.1370,6.1130,6.8450,7.7300,8.2020,8.4510
18/03/2010,4.9370,5.0310,5.1300,5.3300,5.9900,6.5200,6.8870,7.1950,7.6140,7.9300,4.5000,0.2500,3.6759,4.9300,12.5234,4.8750,5.1300,6.0950,6.8210,7.7210,8.2010,8.4310
19/03/2010,4.9400,5.0360,5.1400,5.3590,6.0310,6.5410,6.9090,7.2106,7.6200,7.9450,4.5000,0.2500,3.6892,4.9100,12.5854,4.8780,5.1780,6.1140,6.8690,7.7500,8.2720,8.4480
22/03/2010,4.9500,5.0400,5.1400,5.3700,6.0400,6.5500,6.9200,7.2200,7.6175,7.9575,4.5000,0.2500,3.6588,4.9300,12.5354,4.8810,5.1500,6.1230,6.8430,7.7520,8.2320,8.4660
23/03/2010,4.9440,5.0400,5.1435,5.3750,6.0300,6.5300,6.9000,7.2000,7.6000,7.9200,4.5000,0.2500,3.6854,4.9450,12.4788,4.8850,5.1420,6.1210,6.8360,7.7340,8.2180,8.4680
24/03/2010,4.9430,5.0430,5.1580,5.3960,6.0620,6.5690,6.9390,7.2300,7.6360,7.9640,4.5000,0.2500,3.8524,4.9250,12.5857,4.9000,5.1460,6.1260,6.8400,7.7560,8.2370,8.4970
25/03/2010,4.9440,5.0270,5.1370,5.3600,6.0200,6.5640,6.9400,7.2360,7.6400,7.9730,4.5000,0.2500,3.8777,4.9500,12.5655,4.9040,5.1310,6.1150,6.8480,7.7820,8.2750,8.5280
26/03/2010,4.9440,5.0200,5.1370,5.3410,6.0200,6.5400,6.9140,7.2180,7.6350,7.9600,4.5000,0.2500,3.8468,4.9400,12.4962,4.8990,5.1100,6.0860,6.8280,7.7600,8.2790,8.5160
29/03/2010,4.9350,5.0150,5.1075,5.3300,5.9905,6.5070,6.8700,7.1915,7.5700,7.9300,4.5000,0.2500,3.8643,4.9250,12.4325,4.8950,5.1690,6.0590,6.8230,7.7040,8.2480,8.4880
30/03/2010,4.9250,5.0050,5.1050,5.3150,5.9700,6.4780,6.8310,7.1310,7.5240,7.8570,4.5000,0.2500,3.8566,4.9150,12.3684,4.8650,5.0600,5.9890,6.7580,7.6680,8.2170,8.4640
31/03/2010,4.9220,5.0100,5.1050,5.3090,5.9700,6.4790,6.8380,7.1450,7.5400,7.8520,4.5000,0.2500,3.8257,4.9075,12.3650,4.8740,5.0720,5.9510,6.7220,7.6170,8.1800,8.4320
01/04/2010,4.9300,5.0000,5.1100,5.2850,5.9600,6.4550,6.8200,7.1300,7.5300,7.8400,4.5000,0.2500,3.8685,4.9075,12.3223,4.8740,5.0720,5.9510,6.7220,7.6170,8.1800,8.4320
02/04/2010,4.9300,5.0000,5.1100,5.2850,5.9700,6.4600,6.8200,7.1300,7.5300,7.8400,4.5000,0.2500,3.9446,4.9075,12.3026,4.8740,5.0720,5.9510,6.7220,7.6170,8.1800,8.4320
05/04/2010,4.9400,5.0200,5.1400,5.3400,5.9900,6.5000,6.8600,7.1500,7.5600,7.8700,4.5000,0.2500,3.9859,4.8950,12.2491,4.8780,5.1020,5.9310,6.7160,7.5930,8.1630,8.4180
06/04/2010,4.9350,5.0150,5.1300,5.3450,6.0000,6.4800,6.8390,7.1340,7.5450,7.8500,4.5000,0.2500,3.9505,4.9250,12.2179,4.8670,5.1500,5.9440,6.7480,7.5820,8.1510,8.3980
07/04/2010,4.9250,5.0150,5.1300,5.3250,5.9725,6.4550,6.7945,7.0775,7.5000,7.7925,4.5000,0.2500,3.8531,4.9100,12.2931,4.8710,5.1540,5.9280,6.7570,7.5420,8.0750,8.3430
08/04/2010,4.9275,5.0150,5.1300,5.3300,5.9775,6.4590,6.7890,7.0688,7.4813,7.7900,4.5000,0.2500,3.8901,4.9108,12.2171,4.8580,5.1430,5.8790,6.7260,7.5250,8.0460,8.2960
09/04/2010,4.9350,5.0075,5.1250,5.3425,5.9875,6.4700,6.7775,7.0900,7.4975,7.8050,4.5000,0.2500,3.8825,4.9400,12.1871,4.8580,5.1120,5.8450,6.6780,7.5440,8.0360,8.2850
12/04/2010,4.9350,5.0075,5.1250,5.3425,5.9875,6.4775,6.8000,7.1050,7.5200,7.8200,4.5000,0.2500,3.8417,4.9450,12.1575,4.8680,5.1170,5.8730,6.6950,7.5760,8.0380,8.3120
13/04/2010,4.9345,5.0100,5.1200,5.3425,5.9890,6.4800,6.8160,7.1130,7.5240,7.8250,4.5000,0.2500,3.8204,4.9200,12.1786,4.8620,5.1260,5.8810,6.7130,7.5850,8.0370,8.3030
14/04/2010,4.9400,5.0150,5.1250,5.3425,6.0100,6.5300,6.8500,7.1365,7.5560,7.8565,4.5000,0.2500,3.8593,4.9350,12.2015,4.8550,5.1650,5.8990,6.7460,7.6040,8.0600,8.3280
15/04/2010,4.9450,5.0150,5.1250,5.3450,6.0150,6.5175,6.8550,7.1425,7.5600,7.8475,4.5000,0.2500,3.8321,4.9495,12.1666,4.9170,5.1630,5.9090,6.7570,7.6090,8.0560,8.3200
16/04/2010,4.9450,5.0100,5.1200,5.3450,5.9800,6.4970,6.8295,7.1200,7.5440,7.8480,4.5000,0.2500,3.7626,4.9450,12.2756,4.8480,5.1520,5.8990,6.7590,7.6090,8.0680,8.3330
19/04/2010,4.9600,5.0170,5.1200,5.3450,5.9800,6.4920,6.8300,7.1200,7.5440,7.8410,4.5000,0.2500,3.7974,4.9750,12.2388,4.8470,5.1530,5.9000,6.7690,7.6010,8.0650,8.3280
20/04/2010,4.9600,5.0170,5.1200,5.3450,5.9675,6.4750,6.7950,7.0900,7.5020,7.7900,4.5000,0.2500,3.7993,4.9500,12.2212,4.8480,5.1510,5.8820,6.7530,7.5670,8.0250,8.2950
21/04/2010,4.9400,5.0170,5.1200,5.3000,5.9550,6.4150,6.7175,7.0025,7.4150,7.7000,4.5000,0.2500,3.7356,4.9500,12.1790,4.8590,5.1640,5.8380,6.6990,7.4420,7.9000,8.1770
22/04/2010,4.9400,4.9950,5.0950,5.2650,5.9200,6.3600,6.6650,6.9400,7.3250,7.6200,4.5000,0.2500,3.7723,4.9250,12.2100,4.8740,5.1570,5.7770,6.6330,7.3530,7.8030,8.0760
23/04/2010,4.9400,4.9975,5.0925,5.2650,5.9175,6.3545,6.6640,6.9250,7.3300,7.6250,4.5000,0.2500,3.8092,4.9450,12.1795,4.8020,5.1520,5.7640,6.6230,7.3470,7.7930,8.0740
26/04/2010,4.9500,4.9975,5.0825,5.2650,5.8900,6.3375,6.6350,6.9100,7.3200,7.6200,4.5000,0.2500,3.8054,4.9575,12.1519,4.7870,5.1340,5.7790,6.6300,7.3840,7.8230,8.0800
27/04/2010,4.9600,5.0060,5.0850,5.2900,5.9138,6.3950,6.7100,6.9850,7.3908,7.7125,4.5000,0.2500,3.6877,4.9500,12.3801,4.8520,5.1350,5.7990,6.6350,7.4300,7.8650,8.1220
28/04/2010,4.9600,5.0100,5.0900,5.2800,5.9100,6.3900,6.7225,7.0100,7.4250,7.7550,4.5000,0.2500,3.7628,4.9500,12.3438,4.8490,5.1410,5.8180,6.6590,7.4670,7.8920,8.1680
29/04/2010,4.9500,5.0100,5.0900,5.2750,5.8950,6.3650,6.6850,6.9745,7.3850,7.7075,4.5000,0.2500,3.7243,4.9550,12.2055,4.8240,5.1370,5.7930,6.6490,7.4350,7.8760,8.1540
30/04/2010,4.9600,5.0100,5.0900,5.2750,5.8950,6.3650,6.6850,6.9900,7.4175,7.7450,4.5000,0.2500,3.6532,4.9350,12.3109,4.7640,5.1560,5.7910,6.6500,7.4450,7.8960,8.1810
03/05/2010,4.9600,5.0100,5.0850,5.2750,5.8900,6.3850,6.7150,6.9900,7.4150,7.7400,4.5000,0.2500,3.6820,4.9500,12.2628,4.8190,5.1700,5.7990,6.6490,7.4440,7.9110,8.1800
04/05/2010,4.9600,5.0100,5.0850,5.2750,5.8900,6.4100,6.7550,7.0550,7.4663,7.7950,4.5000,0.2500,3.5902,4.9450,12.5450,4.8270,5.1720,5.8330,6.6710,7.4640,7.9590,8.2130
05/05/2010,4.9600,5.0050,5.1000,5.2725,5.9000,6.4350,6.8250,7.1100,7.5675,7.9050,4.5000,0.2500,3.5388,4.9600,12.7352,4.8290,5.1800,5.8880,6.7200,7.5400,8.0560,8.2990
06/05/2010,4.9700,5.0143,5.0750,5.2900,5.9075,6.4800,6.9150,7.2000,7.6600,8.0208,4.5000,0.2500,3.3938,4.9450,12.9959,4.7540,5.1780,5.9490,6.7740,7.6180,8.1290,8.3910
07/05/2010,4.9400,4.9900,5.0500,5.2475,5.8550,6.3850,6.8050,7.1250,7.5850,7.9350,4.5000,0.2500,3.4255,4.9300,12.8702,4.7550,5.1520,5.9530,6.7790,7.6380,8.1440,8.4000
10/05/2010,4.9400,4.9900,5.0600,5.2475,5.8100,6.3200,6.6700,6.9600,7.4045,7.7350,4.5000,0.2500,3.5406,4.9025,12.4589,4.8080,5.0560,5.8100,6.6230,7.4810,7.9840,8.2570
11/05/2010,4.9400,4.9900,5.0600,5.2475,5.8200,6.3200,6.6580,6.9500,7.3850,7.7200,4.5000,0.2500,3.5235,4.9050,12.5104,4.7320,5.0460,5.7550,6.5880,7.4390,7.9370,8.2150
12/05/2010,4.9400,4.9900,5.0600,5.2475,5.8000,6.2975,6.6450,6.9200,7.3525,7.7000,4.5000,0.2500,3.5710,4.9400,12.3650,4.7330,5.0380,5.7150,6.5500,7.3930,7.8950,8.1780
13/05/2010,4.9400,4.9900,5.0600,5.2200,5.8000,6.3000,6.6500,6.9400,7.3625,7.6900,4.5000,0.2500,3.5261,4.9350,12.4306,4.9630,5.0130,5.7010,6.5420,7.4140,7.9460,8.1780
14/05/2010,4.9400,4.9900,5.0600,5.2200,5.8150,6.3600,6.7300,7.0155,7.4700,7.7950,4.5000,0.2500,3.4534,4.9500,12.5899,4.9990,5.0190,5.6980,6.5650,7.5080,7.9970,8.2340
17/05/2010,4.9400,4.9900,5.0600,5.2200,5.8050,6.3500,6.7200,7.0530,7.4900,7.8400,4.5000,0.2500,3.4869,4.9550,12.6011,4.7420,5.0500,5.6490,6.5600,7.5390,8.0290,8.2530
18/05/2010,4.9450,4.9925,5.0650,5.1850,5.7850,6.3125,6.7200,7.0400,7.4780,7.8488,4.5000,0.2500,3.3462,4.9638,12.7450,4.8060,5.0440,5.6280,6.5280,7.5400,8.0590,8.2630
19/05/2010,4.9450,4.9920,5.0650,5.1898,5.7775,6.2875,6.6895,7.0040,7.4850,7.8565,4.5000,0.2500,3.3682,4.9486,12.8347,4.8060,5.0340,5.5920,6.5020,7.5500,8.0640,8.2560
20/05/2010,4.9580,4.9945,5.0675,5.1700,5.7500,6.2625,6.6650,6.9750,7.4733,7.8575,4.5000,0.2500,3.2126,4.9500,13.1457,4.7900,5.0140,5.5530,6.4690,7.5610,8.0570,8.2570
21/05/2010,4.9600,4.9850,5.0500,5.1575,5.7150,6.1980,6.5948,6.8595,7.3900,7.8000,4.5000,0.2500,3.2379,4.9400,12.9491,4.7330,4.9800,5.4900,6.4140,7.5270,8.0270,8.2300
24/05/2010,4.9450,4.9900,5.0450,5.1450,5.6300,6.0850,6.4750,6.8050,7.2890,7.7088,4.5000,0.2500,3.1942,4.9400,13.0300,4.7930,4.9810,5.3530,6.2950,7.4670,7.9680,8.1680
25/05/2010,4.9450,4.9975,5.0550,5.1250,5.5800,6.0220,6.4035,6.7400,7.2775,7.7020,4.5000,0.2500,3.1578,4.9300,13.0444,4.7890,4.9950,5.3150,6.2490,7.4360,7.9570,8.1640
26/05/2010,4.9450,4.9850,5.0450,5.1450,5.5900,6.0200,6.3800,6.7350,7.2550,7.6900,4.5000,0.2500,3.1886,4.9491,13.1152,4.7780,4.9860,5.2760,6.2250,7.3940,7.9400,8.1560
27/05/2010,4.9570,5.0000,5.0485,5.1600,5.6088,6.0275,6.3750,6.7150,7.2100,7.6200,4.5000,0.2500,3.3605,4.9750,12.8138,4.7170,4.9940,5.2950,6.2220,7.3430,7.9250,8.1410
28/05/2010,4.9570,5.0000,5.0750,5.1750,5.6488,6.0800,6.4200,6.7500,7.2400,7.6338,4.5000,0.2500,3.2922,4.9650,12.9604,4.7490,4.9670,5.3390,6.2440,7.3250,7.9120,8.1400
31/05/2010,4.9570,5.0000,5.0750,5.1750,5.6488,6.0400,6.4200,6.7500,7.2200,7.6338,4.5000,0.2500,3.2848,4.9500,12.9346,4.7410,4.9440,5.3590,6.2530,7.2970,7.8960,8.1260
01/06/2010,4.9545,4.9925,5.0650,5.1635,5.6375,6.0700,6.3905,6.7025,7.1595,7.5670,4.5000,0.2500,3.2591,4.9250,12.9700,4.6970,4.8920,5.3620,6.2450,7.2310,7.8340,8.0850
02/06/2010,4.9550,5.0000,5.0550,5.1550,5.6100,6.0088,6.2950,6.6000,7.0450,7.4500,4.5000,0.2500,3.3400,4.9350,12.7817,4.8170,5.2110,5.3670,6.1840,7.1500,7.7190,7.9750
03/06/2010,4.9500,4.9950,5.0450,5.1375,5.5950,5.9700,6.2800,6.5550,6.9800,7.3850,4.5000,0.2500,3.3639,4.9200,12.7823,4.8230,5.2010,5.3480,6.1580,7.0470,7.6610,7.9290
04/06/2010,4.9500,4.9950,5.0450,5.1375,5.5900,5.9450,6.2725,6.5400,6.9550,7.3625,4.5000,0.2500,3.2023,4.9350,12.9561,4.8110,5.1960,5.3450,6.1530,7.0160,7.6080,7.8930
